Position,x,y,z,I,j,k,l
Position 1,0.079483207891542,0.047072439716997,0.679262824361048,-0.901790861173276,0.366695522605403,-0.21038992033737,0.089686776204439
Position 2,0.249550769859787,0.33331052383524,0.709791225022178,0.925076600294354,-0.271806560838549,0.195766613012903,0.178969020510301
Position 3,0.5823532022458,0.050138388815822,0.626308649669996,0.904623991192359,-0.339296275126778,-0.239573983117685,0.095186227894329
Position 4,0.273795783696059,-0.212487449909366,0.710816798673578,-0.799461773742886,0.553714216229519,0.080063492461308,0.218749345699836
